$,App,PC
 228.15 , Marketpro Invoice ,000018187
 51.87 , Marketpro Invoice ,000018187
 8.69 , Marketpro Invoice ,000018187
 267.15 , Marketpro Invoice ,000018187
" 1,396.11 ", Marketpro Invoice ,000018187
 1.01 , Marketpro Invoice ,000018187
 23.31 , Marketpro Invoice ,000018187
 599.89 , Marketpro Invoice ,000018187
 1.01 , Marketpro Invoice ,000018187
 14.39 , Marketpro Invoice ,000018187
 124.26 , Mexico Migration ,090921400
 0.00 , Next Level Migration ,000019933
" 1,793.48 ", O365 Veeam Backups ,090926400
 14.61 , oBundle ,000019197
" 1,492.98 ", Identity Management - Ping ,000010337
 571.27 , Identity Management - Ping ,000010337
 297.94 , Identity Management - Ping ,000010337
 0.00 , Purple Squirrel POC ,Allocation
 285.93 , Eventualas - Chile - Prod ,000005578
 282.51 , Eventualas - Chile - QA ,000005578
 0.00 , Messaging Services ,090946800 
 0.00 , Messaging Services ,090946800 
 0.21 , Messaging Services ,090946800 
 5.53 , Messaging Services ,090946800 
 105.16 , Salesforce -  Azure DevOps ,000009022
 603.13 , SCCM Intune Storage Account ,000018544
 56.05 , Toronto HQ Backups ,004701521
 788.19 , Identity Management - Ping ,000010337
 155.05 , IAM - VDI Sessions ,000010337
 341.44 , SOC - WVD Management ,000018544
 689.98 , SOC - WVD Sessions ,000018544
" 1,372.67 ", Avendra CLP Engine -DEV ,000017318
" 1,270.86 ", Avendra CLP Engine -Prod ,000017318
 365.81 , Avendra CLP Engine -QA ,000017318
" 5,565.30 ", Identity Management - IIQ ,000010337
" 2,020.61 ", Identity Management - IIQ ,000010337
 0.90 , TBD ,Allocation
 0.60 , New TBD ,Allocation
 16.70 , Infrastructure ,Allocation
 0.88 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 72.33 , Identity Management - IIQ ,000010337
 0.71 , Infrastructure ,Allocation
 0.00 , Spain CPD Datacenter ,000005578
 0.01 , Infrastructure ,Allocation
 15.37 , Unknown ,Allocation
" 12,254.82 ", Express Route ,000018544
 305.52 , Facilities-Sherlok ,300939300
" 2,282.50 ", Facility Fit ,300067000
" 5,121.51 ", Facility Fit ,300067000
" 3,898.11 ", Facility Fit ,300067000
" 11,410.54 ", Facility Fit ,300067000
 57.72 , GFF PROD - Azure DevOps ,000004982
 8.39 , GFF PROD - Azure DevOps ,000004982
 0.01 , Avendra HPSI Resources ,000017318
 1.28 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.00 , Marko Purview POC ,000005939
 16.01 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.08 , Prima Web POC ,Allocation
 108.36 , Refreshment Data Project ,700936800
 245.69 , OpenAI Testing Chile ,000005939
 1.97 , PCF - FrontLine Enablement ,000010825
 0.00 , SCCM ,Allocation
 385.64 , SharePoint Management VM - Hammad Haidari ,Allocation
 570.34 , SOC Deployment ,000018544
 0.37 , Avendra PLA Storage ,000017318
 -   , Azure Devops Organizations Charges Broken out below ,Allocation
 546.32 , AvendraGroup - AZDO ,000017318
 8.90 , Aramark-IAM - AZDO ,000010337
 59.87 , AramarkEnable - AZDO ,000021002
 152.45 , Aramark-GSC-GPO - AZDO ,000017318
 146.39 , AramarkGOE - AZDO ,090922300  
 22.45 , AramarkFinancialApps - AZDO ,000004982
 269.42 , Aramark-marko - AZDO ,000005939
 174.00 , cpsAvendra - AZDO ,300065300
 11.23 , FacilitiesProjects - AZDO  ,300491200
 5.61 , ARAZDEVOPS - AZDO ,000005578
 36.77 , AramarkMenuManagement - AZDO ,000021648
 80.77 , MarketPRO - AZDO ,000018187
